GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
RFTN1	2.211	3.469	11.982	1.70E-06	1.52E-04	5.739	Upregulated (FDR < 0.01, log2FC > 0.6)
SP140L	1.837	3.385	11.843	1.86E-06	1.63E-04	5.643	Upregulated (FDR < 0.01, log2FC > 0.6)
SQSTM1	2.005	3.899	11.791	1.92E-06	1.65E-04	5.607	Upregulated (FDR < 0.01, log2FC > 0.6)
WARS	1.599	5.666	11.658	2.10E-06	1.74E-04	5.514	Upregulated (FDR < 0.01, log2FC > 0.6)
TYMP	1.335	4.207	11.657	2.11E-06	1.74E-04	5.513	Upregulated (FDR < 0.01, log2FC > 0.6)
PIK3AP1	1.544	4.975	11.598	2.19E-06	1.77E-04	5.471	Upregulated (FDR < 0.01, log2FC > 0.6)
HLA-A	1.341	5.308	11.546	2.27E-06	1.80E-04	5.434	Upregulated (FDR < 0.01, log2FC > 0.6)
KIAA0101	-2.231	4.056	-11.503	2.33E-06	1.82E-04	5.404	Downregulated (FDR < 0.01, log2FC < -0.6)
LAP3	1.302	5.440	11.475	2.38E-06	1.82E-04	5.383	Upregulated (FDR < 0.01, log2FC > 0.6)
TPX2	-1.278	4.562	-11.294	2.69E-06	2.00E-04	5.252	Downregulated (FDR < 0.01, log2FC < -0.6)
TMOD1	-1.287	4.542	-11.290	2.70E-06	2.00E-04	5.250	Downregulated (FDR < 0.01, log2FC < -0.6)
CD36	1.700	4.384	11.225	2.83E-06	2.06E-04	5.202	Upregulated (FDR < 0.01, log2FC > 0.6)
PARP9	1.751	4.811	11.161	2.95E-06	2.11E-04	5.155	Upregulated (FDR < 0.01, log2FC > 0.6)
GFI1	-2.504	3.482	-11.117	3.05E-06	2.14E-04	5.122	Downregulated (FDR < 0.01, log2FC < -0.6)
CMTR1	1.302	4.474	11.058	3.17E-06	2.20E-04	5.079	Upregulated (FDR < 0.01, log2FC > 0.6)
CD14	1.415	4.845	10.909	3.53E-06	2.40E-04	4.966	Upregulated (FDR < 0.01, log2FC > 0.6)
SAMD9L	2.084	4.758	10.867	3.63E-06	2.44E-04	4.935	Upregulated (FDR < 0.01, log2FC > 0.6)
PTPRF	-1.461	4.153	-10.783	3.86E-06	2.55E-04	4.871	Downregulated (FDR < 0.01, log2FC < -0.6)
CTSV	1.641	5.416	10.746	3.96E-06	2.58E-04	4.843	Upregulated (FDR < 0.01, log2FC > 0.6)
SASH1	1.198	4.234	10.567	4.51E-06	2.89E-04	4.705	Upregulated (FDR < 0.01, log2FC > 0.6)
OASL	2.174	4.334	10.456	4.90E-06	3.05E-04	4.618	Upregulated (FDR < 0.01, log2FC > 0.6)
IRF7	2.043	3.865	10.435	4.97E-06	3.05E-04	4.602	Upregulated (FDR < 0.01, log2FC > 0.6)
PSAP	1.202	5.801	10.440	4.95E-06	3.05E-04	4.606	Upregulated (FDR < 0.01, log2FC > 0.6)
CYBB	2.162	4.475	10.399	5.11E-06	3.09E-04	4.574	Upregulated (FDR < 0.01, log2FC > 0.6)
PNPT1	1.192	5.129	10.357	5.27E-06	3.14E-04	4.541	Upregulated (FDR < 0.01, log2FC > 0.6)
TNFAIP2	1.647	4.631	10.293	5.52E-06	3.24E-04	4.490	Upregulated (FDR < 0.01, log2FC > 0.6)
OPTN	1.175	5.070	10.279	5.58E-06	3.24E-04	4.478	Upregulated (FDR < 0.01, log2FC > 0.6)
TAP2	1.410	5.259	10.224	5.82E-06	3.33E-04	4.434	Upregulated (FDR < 0.01, log2FC > 0.6)
CD40	2.334	4.767	10.204	5.91E-06	3.34E-04	4.418	Upregulated (FDR < 0.01, log2FC > 0.6)
SPATS2L	1.157	5.226	10.021	6.79E-06	3.78E-04	4.270	Upregulated (FDR < 0.01, log2FC > 0.6)
GTSF1	-1.308	3.751	-9.954	7.15E-06	3.93E-04	4.215	Downregulated (FDR < 0.01, log2FC < -0.6)
IL4I1	3.010	4.244	9.909	7.40E-06	4.02E-04	4.178	Upregulated (FDR < 0.01, log2FC > 0.6)
RTN1	1.648	4.236	9.854	7.72E-06	4.14E-04	4.132	Upregulated (FDR < 0.01, log2FC > 0.6)
CCNB2	-1.287	3.912	-9.815	7.96E-06	4.22E-04	4.100	Downregulated (FDR < 0.01, log2FC < -0.6)
ACSL1	3.112	4.886	9.773	8.22E-06	4.30E-04	4.066	Upregulated (FDR < 0.01, log2FC > 0.6)
ME1	1.437	4.908	9.685	8.81E-06	4.56E-04	3.992	Upregulated (FDR < 0.01, log2FC > 0.6)
PARP12	2.330	4.131	9.572	9.64E-06	4.93E-04	3.895	Upregulated (FDR < 0.01, log2FC > 0.6)
MEF2D	-1.107	4.223	-9.506	1.02E-05	5.13E-04	3.839	Downregulated (FDR < 0.01, log2FC < -0.6)
HMOX1	2.379	4.025	9.365	1.14E-05	5.67E-04	3.717	Upregulated (FDR < 0.01, log2FC > 0.6)
PLEK	1.084	4.925	9.353	1.15E-05	5.67E-04	3.707	Upregulated (FDR < 0.01, log2FC > 0.6)
DDX58	2.837	4.713	9.277	1.22E-05	5.96E-04	3.641	Upregulated (FDR < 0.01, log2FC > 0.6)
HLA-B	1.507	4.008	9.196	1.31E-05	6.30E-04	3.570	Upregulated (FDR < 0.01, log2FC > 0.6)
CENPF	-1.222	3.820	-9.123	1.39E-05	6.62E-04	3.505	Downregulated (FDR < 0.01, log2FC < -0.6)
TOR1B	1.295	5.068	9.056	1.47E-05	6.92E-04	3.445	Upregulated (FDR < 0.01, log2FC > 0.6)
ZNFX1	1.305	3.712	9.022	1.51E-05	6.97E-04	3.415	Upregulated (FDR < 0.01, log2FC > 0.6)
ST14	-1.058	4.771	-9.024	1.51E-05	6.97E-04	3.416	Downregulated (FDR < 0.01, log2FC < -0.6)
GBP4	2.943	4.913	8.901	1.67E-05	7.56E-04	3.305	Upregulated (FDR < 0.01, log2FC > 0.6)
DDX21	1.072	5.012	8.901	1.67E-05	7.56E-04	3.305	Upregulated (FDR < 0.01, log2FC > 0.6)
NUSAP1	-1.223	4.824	-8.849	1.75E-05	7.81E-04	3.258	Downregulated (FDR < 0.01, log2FC < -0.6)
STAT3	1.016	4.748	8.800	1.82E-05	8.02E-04	3.213	Upregulated (FDR < 0.01, log2FC > 0.6)
CD37	-1.218	3.758	-8.794	1.83E-05	8.02E-04	3.208	Downregulated (FDR < 0.01, log2FC < -0.6)
OAS1	3.326	4.048	8.723	1.95E-05	8.31E-04	3.142	Upregulated (FDR < 0.01, log2FC > 0.6)
LACC1	2.393	5.635	8.725	1.94E-05	8.31E-04	3.144	Upregulated (FDR < 0.01, log2FC > 0.6)
NUB1	1.024	3.925	8.718	1.96E-05	8.31E-04	3.137	Upregulated (FDR < 0.01, log2FC > 0.6)
MEFV	0.987	4.578	8.659	2.06E-05	8.65E-04	3.083	Upregulated (FDR < 0.01, log2FC > 0.6)
KYNU	1.415	5.501	8.635	2.10E-05	8.75E-04	3.061	Upregulated (FDR < 0.01, log2FC > 0.6)
CDC20	-1.044	4.936	-8.615	2.14E-05	8.82E-04	3.042	Downregulated (FDR < 0.01, log2FC < -0.6)
FTL	1.094	5.769	8.501	2.36E-05	9.65E-04	2.935	Upregulated (FDR < 0.01, log2FC > 0.6)
SASS6	-1.101	4.032	-8.428	2.52E-05	1.02E-03	2.866	Downregulated (FDR < 0.01, log2FC < -0.6)
AFF1	-0.975	4.940	-8.386	2.61E-05	1.04E-03	2.826	Downregulated (FDR < 0.01, log2FC < -0.6)
RNASET2	-1.132	4.848	-8.392	2.60E-05	1.04E-03	2.831	Downregulated (FDR < 0.01, log2FC < -0.6)
SRGN	-1.009	4.944	-8.345	2.71E-05	1.07E-03	2.786	Downregulated (FDR < 0.01, log2FC < -0.6)
CTSG	-1.387	4.549	-8.301	2.82E-05	1.10E-03	2.744	Downregulated (FDR < 0.01, log2FC < -0.6)
CHCHD2	-0.957	4.774	-8.277	2.88E-05	1.11E-03	2.721	Downregulated (FDR < 0.01, log2FC < -0.6)
PLD4	-1.089	4.334	-8.241	2.97E-05	1.14E-03	2.686	Downregulated (FDR < 0.01, log2FC < -0.6)
ADGRL2	-1.650	3.683	-8.220	3.03E-05	1.15E-03	2.665	Downregulated (FDR < 0.01, log2FC < -0.6)
RRM2	-1.083	4.082	-8.170	3.17E-05	1.19E-03	2.617	Downregulated (FDR < 0.01, log2FC < -0.6)
DAPP1	1.444	4.126	8.133	3.28E-05	1.22E-03	2.581	Upregulated (FDR < 0.01, log2FC > 0.6)
CTSD	1.085	5.052	8.036	3.59E-05	1.33E-03	2.484	Upregulated (FDR < 0.01, log2FC > 0.6)
JUNB	2.217	4.223	8.017	3.65E-05	1.34E-03	2.465	Upregulated (FDR < 0.01, log2FC > 0.6)
NAPA	1.018	5.214	7.987	3.75E-05	1.35E-03	2.436	Upregulated (FDR < 0.01, log2FC > 0.6)
VAMP8	-0.973	5.114	-7.995	3.72E-05	1.35E-03	2.444	Downregulated (FDR < 0.01, log2FC < -0.6)
ADA	1.107	5.282	7.970	3.81E-05	1.36E-03	2.419	Upregulated (FDR < 0.01, log2FC > 0.6)
IFI44L	3.129	3.895	7.909	4.03E-05	1.39E-03	2.358	Upregulated (FDR < 0.01, log2FC > 0.6)
SLC30A1	1.254	3.893	7.915	4.01E-05	1.39E-03	2.364	Upregulated (FDR < 0.01, log2FC > 0.6)
ADAM15	-0.900	4.203	-7.917	4.00E-05	1.39E-03	2.366	Downregulated (FDR < 0.01, log2FC < -0.6)
EGFL7	-0.932	5.145	-7.933	3.94E-05	1.39E-03	2.382	Downregulated (FDR < 0.01, log2FC < -0.6)
CCNB1	-0.943	5.052	-7.932	3.95E-05	1.39E-03	2.382	Downregulated (FDR < 0.01, log2FC < -0.6)
NMI	0.968	5.325	7.882	4.14E-05	1.41E-03	2.331	Upregulated (FDR < 0.01, log2FC > 0.6)
NPC1	0.974	3.915	7.855	4.24E-05	1.43E-03	2.304	Upregulated (FDR < 0.01, log2FC > 0.6)
MMP14	0.979	4.905	7.816	4.40E-05	1.45E-03	2.265	Upregulated (FDR < 0.01, log2FC > 0.6)
ZEB2	0.915	4.652	7.829	4.35E-05	1.45E-03	2.277	Upregulated (FDR < 0.01, log2FC > 0.6)
TOP2A	-1.086	4.816	-7.815	4.40E-05	1.45E-03	2.263	Downregulated (FDR < 0.01, log2FC < -0.6)
FAM49A	1.072	3.922	7.805	4.45E-05	1.46E-03	2.253	Upregulated (FDR < 0.01, log2FC > 0.6)
STMN1	-0.993	5.270	-7.770	4.60E-05	1.49E-03	2.218	Downregulated (FDR < 0.01, log2FC < -0.6)
HLA-C	1.232	4.460	7.760	4.64E-05	1.50E-03	2.207	Upregulated (FDR < 0.01, log2FC > 0.6)
B2M	1.207	5.216	7.748	4.69E-05	1.50E-03	2.195	Upregulated (FDR < 0.01, log2FC > 0.6)
ENG	1.277	4.657	7.712	4.86E-05	1.53E-03	2.158	Upregulated (FDR < 0.01, log2FC > 0.6)
TLR2	0.955	5.066	7.717	4.83E-05	1.53E-03	2.164	Upregulated (FDR < 0.01, log2FC > 0.6)
APOBEC3G	0.968	4.605	7.699	4.92E-05	1.54E-03	2.144	Upregulated (FDR < 0.01, log2FC > 0.6)
CKAP2	-1.244	4.243	-7.682	4.99E-05	1.55E-03	2.128	Downregulated (FDR < 0.01, log2FC < -0.6)
HIST2H2AC	-0.911	5.482	-7.603	5.39E-05	1.66E-03	2.046	Downregulated (FDR < 0.01, log2FC < -0.6)
FAM192A	-0.891	4.300	-7.537	5.74E-05	1.76E-03	1.977	Downregulated (FDR < 0.01, log2FC < -0.6)
TRIM21	0.890	4.246	7.520	5.84E-05	1.76E-03	1.959	Upregulated (FDR < 0.01, log2FC > 0.6)
VLDLR	-0.985	3.889	-7.525	5.81E-05	1.76E-03	1.965	Downregulated (FDR < 0.01, log2FC < -0.6)
LAPTM5	1.517	4.066	7.485	6.04E-05	1.81E-03	1.922	Upregulated (FDR < 0.01, log2FC > 0.6)
ANKFY1	1.018	4.548	7.451	6.24E-05	1.86E-03	1.887	Upregulated (FDR < 0.01, log2FC > 0.6)
TAPBP	0.979	4.880	7.445	6.28E-05	1.86E-03	1.880	Upregulated (FDR < 0.01, log2FC > 0.6)
BRD3	-0.963	4.117	-7.419	6.44E-05	1.89E-03	1.853	Downregulated (FDR < 0.01, log2FC < -0.6)
SPC24	-1.117	5.095	-7.400	6.56E-05	1.92E-03	1.833	Downregulated (FDR < 0.01, log2FC < -0.6)
KIF20B	-1.223	4.460	-7.362	6.81E-05	1.98E-03	1.793	Downregulated (FDR < 0.01, log2FC < -0.6)
NFKB1	0.969	4.674	7.330	7.03E-05	2.01E-03	1.759	Upregulated (FDR < 0.01, log2FC > 0.6)
HIST1H1D	-0.947	5.507	-7.335	6.99E-05	2.01E-03	1.765	Downregulated (FDR < 0.01, log2FC < -0.6)
SP100	1.021	4.289	7.309	7.18E-05	2.04E-03	1.737	Upregulated (FDR < 0.01, log2FC > 0.6)
MKI67	-1.014	4.430	-7.289	7.32E-05	2.07E-03	1.716	Downregulated (FDR < 0.01, log2FC < -0.6)
PML	1.654	3.903	7.270	7.46E-05	2.09E-03	1.695	Upregulated (FDR < 0.01, log2FC > 0.6)
CHAF1B	-0.844	4.514	-7.218	7.86E-05	2.19E-03	1.639	Downregulated (FDR < 0.01, log2FC < -0.6)
MTHFD2	0.975	5.039	7.146	8.45E-05	2.34E-03	1.560	Upregulated (FDR < 0.01, log2FC > 0.6)
PROS1	-0.898	4.792	-7.141	8.49E-05	2.34E-03	1.555	Downregulated (FDR < 0.01, log2FC < -0.6)
CBFB	-1.943	2.908	-7.094	8.90E-05	2.43E-03	1.504	Downregulated (FDR < 0.01, log2FC < -0.6)
HCK	1.110	5.240	7.082	9.01E-05	2.45E-03	1.491	Upregulated (FDR < 0.01, log2FC > 0.6)
PLEKHO2	0.829	5.352	7.074	9.09E-05	2.45E-03	1.482	Upregulated (FDR < 0.01, log2FC > 0.6)
SQRDL	0.893	5.340	7.055	9.26E-05	2.47E-03	1.461	Upregulated (FDR < 0.01, log2FC > 0.6)
RPS6KA4	-0.941	4.092	-7.055	9.26E-05	2.47E-03	1.462	Downregulated (FDR < 0.01, log2FC < -0.6)
HELLS	-1.089	3.400	-7.040	9.40E-05	2.49E-03	1.445	Downregulated (FDR < 0.01, log2FC < -0.6)
ECH1	-0.820	4.971	-7.029	9.51E-05	2.51E-03	1.432	Downregulated (FDR < 0.01, log2FC < -0.6)
KIFC1	-0.965	4.081	-7.009	9.71E-05	2.54E-03	1.410	Downregulated (FDR < 0.01, log2FC < -0.6)
PTPN18	-1.144	3.445	-7.001	9.79E-05	2.55E-03	1.402	Downregulated (FDR < 0.01, log2FC < -0.6)
MPG	-0.811	4.389	-6.968	1.01E-04	2.62E-03	1.366	Downregulated (FDR < 0.01, log2FC < -0.6)
SAMSN1	1.011	4.182	6.950	1.03E-04	2.65E-03	1.345	Upregulated (FDR < 0.01, log2FC > 0.6)
GLS	0.866	4.981	6.877	1.11E-04	2.84E-03	1.264	Upregulated (FDR < 0.01, log2FC > 0.6)
PSTPIP2	0.875	4.620	6.852	1.14E-04	2.90E-03	1.236	Upregulated (FDR < 0.01, log2FC > 0.6)
IFI35	0.841	5.226	6.844	1.15E-04	2.91E-03	1.227	Upregulated (FDR < 0.01, log2FC > 0.6)
EIF2AK2	1.711	5.287	6.830	1.17E-04	2.93E-03	1.212	Upregulated (FDR < 0.01, log2FC > 0.6)
CFDP1	-0.772	4.972	-6.820	1.18E-04	2.94E-03	1.201	Downregulated (FDR < 0.01, log2FC < -0.6)
HERC5	3.284	3.659	6.790	1.22E-04	3.00E-03	1.167	Upregulated (FDR < 0.01, log2FC > 0.6)
TPM1	-0.873	5.484	-6.793	1.21E-04	3.00E-03	1.170	Downregulated (FDR < 0.01, log2FC < -0.6)
PLA2G4A	0.792	4.123	6.779	1.23E-04	3.01E-03	1.154	Upregulated (FDR < 0.01, log2FC > 0.6)
PRC1	-0.852	4.057	-6.776	1.24E-04	3.01E-03	1.150	Downregulated (FDR < 0.01, log2FC < -0.6)
N4BP1	0.779	4.859	6.753	1.27E-04	3.04E-03	1.124	Upregulated (FDR < 0.01, log2FC > 0.6)
IPO7	0.761	4.527	6.739	1.28E-04	3.04E-03	1.109	Upregulated (FDR < 0.01, log2FC > 0.6)
PPT1	-0.813	5.243	-6.744	1.28E-04	3.04E-03	1.114	Downregulated (FDR < 0.01, log2FC < -0.6)
NCAM2	-0.827	4.887	-6.741	1.28E-04	3.04E-03	1.110	Downregulated (FDR < 0.01, log2FC < -0.6)
ITGAX	-0.945	4.562	-6.741	1.28E-04	3.04E-03	1.111	Downregulated (FDR < 0.01, log2FC < -0.6)
THEMIS2	1.399	4.827	6.688	1.35E-04	3.20E-03	1.051	Upregulated (FDR < 0.01, log2FC > 0.6)
FCGR1B	0.789	4.334	6.664	1.39E-04	3.26E-03	1.023	Upregulated (FDR < 0.01, log2FC > 0.6)
PALM	-0.798	4.333	-6.650	1.41E-04	3.29E-03	1.007	Downregulated (FDR < 0.01, log2FC < -0.6)
LSP1	-0.761	4.368	-6.635	1.43E-04	3.33E-03	0.990	Downregulated (FDR < 0.01, log2FC < -0.6)
VIMP	0.947	4.092	6.552	1.57E-04	3.60E-03	0.894	Upregulated (FDR < 0.01, log2FC > 0.6)
GTF2B	0.792	4.741	6.550	1.57E-04	3.60E-03	0.892	Upregulated (FDR < 0.01, log2FC > 0.6)
PTPRE	0.771	3.798	6.541	1.59E-04	3.62E-03	0.881	Upregulated (FDR < 0.01, log2FC > 0.6)
HOMER3	-0.747	4.421	-6.536	1.59E-04	3.62E-03	0.876	Downregulated (FDR < 0.01, log2FC < -0.6)
PARP4	1.013	4.912	6.529	1.61E-04	3.63E-03	0.867	Upregulated (FDR < 0.01, log2FC > 0.6)
SPG21	0.755	5.271	6.520	1.62E-04	3.63E-03	0.856	Upregulated (FDR < 0.01, log2FC > 0.6)
PSAT1	-0.835	5.388	-6.522	1.62E-04	3.63E-03	0.859	Downregulated (FDR < 0.01, log2FC < -0.6)
INCENP	-1.019	4.143	-6.511	1.64E-04	3.64E-03	0.847	Downregulated (FDR < 0.01, log2FC < -0.6)
SPTBN1	-0.781	4.597	-6.502	1.65E-04	3.66E-03	0.836	Downregulated (FDR < 0.01, log2FC < -0.6)
CHMP1B	-0.797	4.464	-6.498	1.66E-04	3.66E-03	0.831	Downregulated (FDR < 0.01, log2FC < -0.6)
CALCOCO2	-0.768	4.474	-6.477	1.70E-04	3.72E-03	0.807	Downregulated (FDR < 0.01, log2FC < -0.6)
TNFAIP8	1.167	5.154	6.463	1.73E-04	3.75E-03	0.790	Upregulated (FDR < 0.01, log2FC > 0.6)
FBXO6	1.086	4.906	6.461	1.73E-04	3.75E-03	0.788	Upregulated (FDR < 0.01, log2FC > 0.6)
LYZ	-1.483	4.893	-6.456	1.74E-04	3.75E-03	0.782	Downregulated (FDR < 0.01, log2FC < -0.6)
LYSMD2	0.841	6.154	6.430	1.79E-04	3.84E-03	0.751	Upregulated (FDR < 0.01, log2FC > 0.6)
PLSCR1	1.945	4.679	6.406	1.84E-04	3.92E-03	0.723	Upregulated (FDR < 0.01, log2FC > 0.6)
MCEMP1	-1.057	5.153	-6.397	1.85E-04	3.94E-03	0.712	Downregulated (FDR < 0.01, log2FC < -0.6)
MVP	0.848	5.154	6.371	1.91E-04	4.03E-03	0.682	Upregulated (FDR < 0.01, log2FC > 0.6)
TRIM14	1.363	4.093	6.356	1.94E-04	4.06E-03	0.665	Upregulated (FDR < 0.01, log2FC > 0.6)
PRMT1	0.727	5.290	6.356	1.94E-04	4.06E-03	0.665	Upregulated (FDR < 0.01, log2FC > 0.6)
ARMCX3	0.727	5.134	6.337	1.98E-04	4.12E-03	0.642	Upregulated (FDR < 0.01, log2FC > 0.6)
MLKL	0.964	4.504	6.330	2.00E-04	4.14E-03	0.633	Upregulated (FDR < 0.01, log2FC > 0.6)
TNPO1	0.892	4.884	6.315	2.03E-04	4.19E-03	0.615	Upregulated (FDR < 0.01, log2FC > 0.6)
TCEB3	0.881	4.725	6.309	2.04E-04	4.19E-03	0.609	Upregulated (FDR < 0.01, log2FC > 0.6)
UHRF2	-0.709	4.632	-6.268	2.14E-04	4.35E-03	0.559	Downregulated (FDR < 0.01, log2FC < -0.6)
CEP55	-0.844	4.495	-6.272	2.13E-04	4.35E-03	0.564	Downregulated (FDR < 0.01, log2FC < -0.6)
TXNIP	-0.731	4.604	-6.247	2.19E-04	4.42E-03	0.535	Downregulated (FDR < 0.01, log2FC < -0.6)
CETN3	-0.747	4.846	-6.235	2.22E-04	4.47E-03	0.520	Downregulated (FDR < 0.01, log2FC < -0.6)
KIF2C	-0.847	4.015	-6.225	2.24E-04	4.49E-03	0.508	Downregulated (FDR < 0.01, log2FC < -0.6)
FERMT3	0.747	4.905	6.210	2.28E-04	4.53E-03	0.490	Upregulated (FDR < 0.01, log2FC > 0.6)
NDC80	-0.744	4.623	-6.210	2.28E-04	4.53E-03	0.490	Downregulated (FDR < 0.01, log2FC < -0.6)
ARHGAP11A	-0.868	3.850	-6.200	2.30E-04	4.56E-03	0.477	Downregulated (FDR < 0.01, log2FC < -0.6)
HMMR	-1.194	4.461	-6.179	2.36E-04	4.64E-03	0.452	Downregulated (FDR < 0.01, log2FC < -0.6)
UHRF1BP1	0.983	4.079	6.165	2.39E-04	4.69E-03	0.436	Upregulated (FDR < 0.01, log2FC > 0.6)
RACGAP1	-0.740	4.102	-6.154	2.43E-04	4.73E-03	0.422	Downregulated (FDR < 0.01, log2FC < -0.6)
RNF181	-0.991	5.192	-6.147	2.44E-04	4.75E-03	0.414	Downregulated (FDR < 0.01, log2FC < -0.6)
IRF8	-0.697	4.296	-6.141	2.46E-04	4.76E-03	0.407	Downregulated (FDR < 0.01, log2FC < -0.6)
GRK2	-0.713	4.910	-6.126	2.50E-04	4.82E-03	0.389	Downregulated (FDR < 0.01, log2FC < -0.6)
